,soc,Element Name,Unnamed: 0,id,label,Data Value,computerization
51,13-1051,Originality,51,321,1,3.0,0.57
52,13-1051,Persuasion,52,321,1,3.75,0.57
53,13-1051,Social Perceptiveness,53,321,1,3.0,0.57
54,13-1074,Assisting and Caring for Others,54,649,1,2.77,0.97
55,13-1074,"Cramped Work Space, Awkward Positions",55,649,1,1.2,0.97
56,13-1074,Fine Arts,56,649,1,0.38,0.97
57,13-1074,Finger Dexterity,57,649,1,1.5,0.97
58,13-1074,Manual Dexterity,58,649,1,2.5,0.97
59,13-1074,Negotiation,59,649,1,3.0,0.97
60,13-1074,Originality,60,649,1,2.0,0.97
61,13-1074,Persuasion,61,649,1,2.88,0.97
62,13-1074,Social Perceptiveness,62,649,1,3.0,0.97
63,13-1121,Assisting and Caring for Others,63,121,0,3.13,0.037000000000000005
64,13-1121,"Cramped Work Space, Awkward Positions",64,121,0,1.52,0.037000000000000005
65,13-1121,Fine Arts,65,121,0,2.2,0.037000000000000005
66,13-1121,Finger Dexterity,66,121,0,2.0,0.037000000000000005
67,13-1121,Manual Dexterity,67,121,0,2.0,0.037000000000000005
68,13-1121,Negotiation,68,121,0,3.62,0.037000000000000005
69,13-1121,Originality,69,121,0,3.62,0.037000000000000005
70,13-1121,Persuasion,70,121,0,3.5,0.037000000000000005
71,13-1121,Social Perceptiveness,71,121,0,3.75,0.037000000000000005
72,13-1161,Assisting and Caring for Others,72,337,1,1.65,0.61
73,13-1161,"Cramped Work Space, Awkward Positions",73,337,1,1.22,0.61
74,13-1161,Fine Arts,74,337,1,0.68,0.61
75,13-1161,Finger Dexterity,75,337,1,1.75,0.61
76,13-1161,Manual Dexterity,76,337,1,0.12,0.61
77,13-1161,Negotiation,77,337,1,2.75,0.61
78,13-1161,Originality,78,337,1,3.38,0.61
79,13-1161,Persuasion,79,337,1,3.25,0.61
80,13-1161,Social Perceptiveness,80,337,1,3.38,0.61
81,13-2011,Assisting and Caring for Others,81,589,1,2.435,0.94
82,13-2011,"Cramped Work Space, Awkward Positions",82,589,1,1.205,0.94
83,13-2011,Fine Arts,83,589,1,0.095,0.94
84,13-2011,Finger Dexterity,84,589,1,1.435,0.94
85,13-2011,Manual Dexterity,85,589,1,0.19,0.94
86,13-2011,Negotiation,86,589,1,3.065,0.94
87,13-2011,Originality,87,589,1,3.19,0.94
88,13-2011,Persuasion,88,589,1,3.31,0.94
89,13-2011,Social Perceptiveness,89,589,1,3.125,0.94
90,13-2041,Assisting and Caring for Others,90,677,1,1.97,0.98
91,13-2041,"Cramped Work Space, Awkward Positions",91,677,1,1.0,0.98
92,13-2041,Fine Arts,92,677,1,0.23,0.98
93,13-2041,Finger Dexterity,93,677,1,2.5,0.98
94,13-2041,Manual Dexterity,94,677,1,1.12,0.98
95,13-2041,Negotiation,95,677,1,3.12,0.98
96,13-2041,Originality,96,677,1,2.75,0.98
97,13-2041,Persuasion,97,677,1,3.12,0.98
98,13-2041,Social Perceptiveness,98,677,1,2.75,0.98
99,13-2053,Assisting and Caring for Others,99,698,1,1.77,0.99
100,13-2053,"Cramped Work Space, Awkward Positions",100,698,1,1.0,0.99
101,13-2053,Fine Arts,101,698,1,0.27,0.99
102,13-2053,Finger Dexterity,102,698,1,1.62,0.99
103,13-2053,Manual Dexterity,103,698,1,0.75,0.99
104,13-2053,Negotiation,104,698,1,2.88,0.99
105,13-2053,Originality,105,698,1,2.75,0.99
106,13-2053,Persuasion,106,698,1,2.75,0.99
107,13-2053,Social Perceptiveness,107,698,1,3.0,0.99
108,13-2072,Assisting and Caring for Others,108,686,1,2.74,0.98
109,13-2072,"Cramped Work Space, Awkward Positions",109,686,1,1.01,0.98
110,13-2072,Fine Arts,110,686,1,0.13,0.98
111,13-2072,Finger Dexterity,111,686,1,1.75,0.98
112,13-2072,Manual Dexterity,112,686,1,0.62,0.98
113,13-2072,Negotiation,113,686,1,3.12,0.98
114,13-2072,Originality,114,686,1,2.12,0.98
115,13-2072,Persuasion,115,686,1,3.12,0.98
116,13-2072,Social Perceptiveness,116,686,1,3.0,0.98
117,13-2081,Assisting and Caring for Others,117,586,1,2.55,0.93
118,13-2081,"Cramped Work Space, Awkward Positions",118,586,1,1.59,0.93
119,13-2081,Fine Arts,119,586,1,0.23,0.93
120,13-2081,Finger Dexterity,120,586,1,2.12,0.93
121,13-2081,Manual Dexterity,121,586,1,1.0,0.93
122,13-2081,Negotiation,122,586,1,3.0,0.93
123,13-2081,Originality,123,586,1,2.75,0.93
124,13-2081,Persuasion,124,586,1,3.12,0.93
125,13-2081,Social Perceptiveness,125,586,1,3.0,0.93
126,17-1012,Assisting and Caring for Others,126,133,0,2.32,0.045
127,17-1012,"Cramped Work Space, Awkward Positions",127,133,0,1.14,0.045
128,17-1012,Fine Arts,128,133,0,3.18,0.045
129,17-1012,Finger Dexterity,129,133,0,2.38,0.045
130,17-1012,Manual Dexterity,130,133,0,1.62,0.045
131,17-1012,Negotiation,131,133,0,3.25,0.045
132,17-1012,Originality,132,133,0,3.88,0.045
133,17-1012,Persuasion,133,133,0,3.5,0.045
134,17-1012,Social Perceptiveness,134,133,0,3.62,0.045
135,17-1022,Assisting and Caring for Others,135,262,1,2.02,0.38
136,17-1022,"Cramped Work Space, Awkward Positions",136,262,1,2.045,0.38
137,17-1022,Fine Arts,137,262,1,0.505,0.38
138,17-1022,Finger Dexterity,138,262,1,2.935,0.38
139,17-1022,Manual Dexterity,139,262,1,2.565,0.38
140,17-1022,Negotiation,140,262,1,2.565,0.38
141,17-1022,Originality,141,262,1,3.0,0.38
142,17-1022,Persuasion,142,262,1,2.63,0.38
143,17-1022,Social Perceptiveness,143,262,1,2.875,0.38
144,17-2051,Assisting and Caring for Others,144,84,0,2.29,0.019
145,17-2051,"Cramped Work Space, Awkward Positions",145,84,0,1.705,0.019
146,17-2051,Fine Arts,146,84,0,0.395,0.019
147,17-2051,Finger Dexterity,147,84,0,2.0,0.019
148,17-2051,Manual Dexterity,148,84,0,0.565,0.019
149,17-2051,Negotiation,149,84,0,3.185,0.019
150,17-2051,Originality,150,84,0,3.94,0.019
151,17-2051,Persuasion,151,84,0,3.565,0.019
152,17-2051,Social Perceptiveness,152,84,0,3.315,0.019
153,17-2071,Assisting and Caring for Others,153,172,0,2.59,0.1
154,17-2071,"Cramped Work Space, Awkward Positions",154,172,0,1.46,0.1
155,17-2071,Fine Arts,155,172,0,0.1,0.1
156,17-2071,Finger Dexterity,156,172,0,2.38,0.1
157,17-2071,Manual Dexterity,157,172,0,1.75,0.1
158,17-2071,Negotiation,158,172,0,2.88,0.1
159,17-2071,Originality,159,172,0,3.38,0.1
160,17-2071,Persuasion,160,172,0,2.88,0.1
161,17-2071,Social Perceptiveness,161,172,0,3.12,0.1
162,17-3012,Assisting and Caring for Others,162,443,1,2.29,0.81
163,17-3012,"Cramped Work Space, Awkward Positions",163,443,1,1.11,0.81
164,17-3012,Fine Arts,164,443,1,0.665,0.81
165,17-3012,Finger Dexterity,165,443,1,2.685,0.81
166,17-3012,Manual Dexterity,166,443,1,1.56,0.81
167,17-3012,Negotiation,167,443,1,2.13,0.81
168,17-3012,Originality,168,443,1,3.0,0.81
169,17-3012,Persuasion,169,443,1,2.75,0.81
170,17-3012,Social Perceptiveness,170,443,1,2.75,0.81
171,17-3022,Assisting and Caring for Others,171,413,1,2.11,0.75
172,17-3022,"Cramped Work Space, Awkward Positions",172,413,1,1.78,0.75
173,17-3022,Fine Arts,173,413,1,0.54,0.75
174,17-3022,Finger Dexterity,174,413,1,2.38,0.75
175,17-3022,Manual Dexterity,175,413,1,1.88,0.75
176,17-3022,Negotiation,176,413,1,2.75,0.75
177,17-3022,Originality,177,413,1,2.88,0.75
178,17-3022,Persuasion,178,413,1,2.38,0.75
179,17-3022,Social Perceptiveness,179,413,1,2.88,0.75
180,19-1012,Assisting and Caring for Others,180,158,0,1.88,0.077
181,19-1012,"Cramped Work Space, Awkward Positions",181,158,0,1.69,0.077
182,19-1012,Fine Arts,182,158,0,0.52,0.077
183,19-1012,Finger Dexterity,183,158,0,3.0,0.077
184,19-1012,Manual Dexterity,184,158,0,1.75,0.077
185,19-1012,Negotiation,185,158,0,3.5,0.077
186,19-1012,Originality,186,158,0,3.62,0.077
187,19-1012,Persuasion,187,158,0,3.5,0.077
188,19-1012,Social Perceptiveness,188,158,0,3.38,0.077
189,19-1023,Assisting and Caring for Others,189,240,0,2.32,0.3
190,19-1023,"Cramped Work Space, Awkward Positions",190,240,0,1.81,0.3
191,19-1023,Fine Arts,191,240,0,0.13,0.3
192,19-1023,Finger Dexterity,192,240,0,2.5,0.3
193,19-1023,Manual Dexterity,193,240,0,1.88,0.3
194,19-1023,Negotiation,194,240,0,3.0,0.3
195,19-1023,Originality,195,240,0,3.12,0.3
196,19-1023,Persuasion,196,240,0,3.0,0.3
197,19-1023,Social Perceptiveness,197,240,0,3.12,0.3
198,19-2012,Assisting and Caring for Others,198,175,0,2.13,0.1
199,19-2012,"Cramped Work Space, Awkward Positions",199,175,0,1.73,0.1
200,19-2012,Fine Arts,200,175,0,0.09,0.1
201,19-2012,Finger Dexterity,201,175,0,2.5,0.1
202,19-2012,Manual Dexterity,202,175,0,0.38,0.1
203,19-2012,Negotiation,203,175,0,2.88,0.1
204,19-2012,Originality,204,175,0,5.5,0.1
205,19-2012,Persuasion,205,175,0,3.75,0.1
206,19-2012,Social Perceptiveness,206,175,0,3.25,0.1
207,19-3011,Assisting and Caring for Others,207,282,0,1.56,0.43
208,19-3011,"Cramped Work Space, Awkward Positions",208,282,0,1.04,0.43
209,19-3011,Fine Arts,209,282,0,0.46,0.43
210,19-3011,Finger Dexterity,210,282,0,1.435,0.43
211,19-3011,Manual Dexterity,211,282,0,0.06,0.43
212,19-3011,Negotiation,212,282,0,2.81,0.43
213,19-3011,Originality,213,282,0,3.435,0.43
214,19-3011,Persuasion,214,282,0,3.5,0.43
215,19-3011,Social Perceptiveness,215,282,0,3.065,0.43
216,21-1011,Assisting and Caring for Others,216,114,0,4.14,0.033
217,21-1011,"Cramped Work Space, Awkward Positions",217,114,0,1.52,0.033
218,21-1011,Fine Arts,218,114,0,1.08,0.033
219,21-1011,Finger Dexterity,219,114,0,1.25,0.033
220,21-1011,Manual Dexterity,220,114,0,0.0,0.033
221,21-1011,Negotiation,221,114,0,3.12,0.033
222,21-1011,Originality,222,114,0,3.25,0.033
223,21-1011,Persuasion,223,114,0,3.88,0.033
224,21-1011,Social Perceptiveness,224,114,0,4.88,0.033
225,21-1013,Assisting and Caring for Others,225,62,0,4.75,0.013999999999999999
226,21-1013,"Cramped Work Space, Awkward Positions",226,62,0,1.02,0.013999999999999999
227,21-1013,Fine Arts,227,62,0,0.36,0.013999999999999999
228,21-1013,Finger Dexterity,228,62,0,2.12,0.013999999999999999
229,21-1013,Manual Dexterity,229,62,0,0.0,0.013999999999999999
230,21-1013,Negotiation,230,62,0,3.88,0.013999999999999999
231,21-1013,Originality,231,62,0,3.38,0.013999999999999999
232,21-1013,Persuasion,232,62,0,4.0,0.013999999999999999
233,21-1013,Social Perceptiveness,233,62,0,5.88,0.013999999999999999
234,21-2011,Assisting and Caring for Others,234,42,0,4.11,0.0081
235,21-2011,"Cramped Work Space, Awkward Positions",235,42,0,1.17,0.0081
236,21-2011,Fine Arts,236,42,0,2.36,0.0081
237,21-2011,Finger Dexterity,237,42,0,1.25,0.0081
238,21-2011,Manual Dexterity,238,42,0,0.5,0.0081
239,21-2011,Negotiation,239,42,0,3.88,0.0081
240,21-2011,Originality,240,42,0,3.75,0.0081
241,21-2011,Persuasion,241,42,0,4.38,0.0081
242,21-2011,Social Perceptiveness,242,42,0,5.38,0.0081
243,23-1011,Assisting and Caring for Others,243,115,0,2.6,0.035
244,23-1011,"Cramped Work Space, Awkward Positions",244,115,0,1.3,0.035
245,23-1011,Fine Arts,245,115,0,0.46,0.035
246,23-1011,Finger Dexterity,246,115,0,2.0,0.035
247,23-1011,Manual Dexterity,247,115,0,0.38,0.035
248,23-1011,Negotiation,248,115,0,4.25,0.035
249,23-1011,Originality,249,115,0,3.75,0.035
250,23-1011,Persuasion,250,115,0,4.5,0.035
251,23-1011,Social Perceptiveness,251,115,0,4.0,0.035
252,23-1012,Assisting and Caring for Others,252,276,1,1.87,0.41
253,23-1012,"Cramped Work Space, Awkward Positions",253,276,1,1.05,0.41
254,23-1012,Fine Arts,254,276,1,0.0,0.41
255,23-1012,Finger Dexterity,255,276,1,2.0,0.41
256,23-1012,Manual Dexterity,256,276,1,0.0,0.41
257,23-1012,Negotiation,257,276,1,2.62,0.41
258,23-1012,Originality,258,276,1,2.88,0.41
259,23-1012,Persuasion,259,276,1,3.5,0.41
260,23-1012,Social Perceptiveness,260,276,1,3.5,0.41
261,23-1023,Assisting and Caring for Others,261,271,0,2.56,0.4
262,23-1023,"Cramped Work Space, Awkward Positions",262,271,0,1.38,0.4
263,23-1023,Fine Arts,263,271,0,0.45,0.4
264,23-1023,Finger Dexterity,264,271,0,1.38,0.4
265,23-1023,Manual Dexterity,265,271,0,0.0,0.4
266,23-1023,Negotiation,266,271,0,4.12,0.4
267,23-1023,Originality,267,271,0,3.12,0.4
268,23-1023,Persuasion,268,271,0,4.12,0.4
269,23-1023,Social Perceptiveness,269,271,0,4.12,0.4
270,23-2011,Assisting and Caring for Others,270,609,1,2.37,0.94
271,23-2011,"Cramped Work Space, Awkward Positions",271,609,1,1.35,0.94
272,23-2011,Fine Arts,272,609,1,0.0,0.94
273,23-2011,Finger Dexterity,273,609,1,1.75,0.94
274,23-2011,Manual Dexterity,274,609,1,0.5,0.94
275,23-2011,Negotiation,275,609,1,2.5,0.94
276,23-2011,Originality,276,609,1,2.88,0.94
277,23-2011,Persuasion,277,609,1,2.88,0.94
278,23-2011,Social Perceptiveness,278,609,1,3.12,0.94
279,25-2011,Assisting and Caring for Others,279,37,0,4.11,0.0074
280,25-2011,"Cramped Work Space, Awkward Positions",280,37,0,1.6,0.0074
281,25-2011,Fine Arts,281,37,0,1.08,0.0074
282,25-2011,Finger Dexterity,282,37,0,1.62,0.0074
283,25-2011,Manual Dexterity,283,37,0,1.62,0.0074
284,25-2011,Negotiation,284,37,0,2.62,0.0074
285,25-2011,Originality,285,37,0,3.5,0.0074
286,25-2011,Persuasion,286,37,0,2.75,0.0074
287,25-2011,Social Perceptiveness,287,37,0,3.5,0.0074
288,25-2032,Assisting and Caring for Others,288,45,0,3.59,0.0088
289,25-2032,"Cramped Work Space, Awkward Positions",289,45,0,1.86,0.0088
290,25-2032,Fine Arts,290,45,0,1.67,0.0088
291,25-2032,Finger Dexterity,291,45,0,2.75,0.0088
292,25-2032,Manual Dexterity,292,45,0,2.5,0.0088
293,25-2032,Negotiation,293,45,0,3.25,0.0088
294,25-2032,Originality,294,45,0,3.62,0.0088
295,25-2032,Persuasion,295,45,0,3.75,0.0088
296,25-2032,Social Perceptiveness,296,45,0,3.75,0.0088
297,27-1022,Assisting and Caring for Others,297,89,0,2.12,0.021
298,27-1022,"Cramped Work Space, Awkward Positions",298,89,0,3.37,0.021
299,27-1022,Fine Arts,299,89,0,2.59,0.021
300,27-1022,Finger Dexterity,300,89,0,2.88,0.021
301,27-1022,Manual Dexterity,301,89,0,2.25,0.021
302,27-1022,Negotiation,302,89,0,3.38,0.021
303,27-1022,Originality,303,89,0,4.38,0.021
304,27-1022,Persuasion,304,89,0,3.5,0.021
305,27-1022,Social Perceptiveness,305,89,0,3.75,0.021
306,27-2021,Assisting and Caring for Others,306,234,0,2.68,0.28
307,27-2021,"Cramped Work Space, Awkward Positions",307,234,0,1.62,0.28
308,27-2021,Fine Arts,308,234,0,0.71,0.28
309,27-2021,Finger Dexterity,309,234,0,3.0,0.28
310,27-2021,Manual Dexterity,310,234,0,3.25,0.28
311,27-2021,Negotiation,311,234,0,2.38,0.28
312,27-2021,Originality,312,234,0,3.0,0.28
313,27-2021,Persuasion,313,234,0,2.5,0.28
314,27-2021,Social Perceptiveness,314,234,0,3.0,0.28
315,27-3042,Assisting and Caring for Others,315,526,1,2.07,0.89
316,27-3042,"Cramped Work Space, Awkward Positions",316,526,1,1.02,0.89
317,27-3042,Fine Arts,317,526,1,0.23,0.89
318,27-3042,Finger Dexterity,318,526,1,1.88,0.89
319,27-3042,Manual Dexterity,319,526,1,1.0,0.89
320,27-3042,Negotiation,320,526,1,2.38,0.89
321,27-3042,Originality,321,526,1,3.0,0.89
322,27-3042,Persuasion,322,526,1,2.88,0.89
323,27-3042,Social Perceptiveness,323,526,1,2.75,0.89
324,29-1021,Assisting and Caring for Others,324,19,0,4.65,0.0044
325,29-1021,"Cramped Work Space, Awkward Positions",325,19,0,3.36,0.0044
326,29-1021,Fine Arts,326,19,0,0.68,0.0044
327,29-1021,Finger Dexterity,327,19,0,4.75,0.0044
328,29-1021,Manual Dexterity,328,19,0,4.62,0.0044
329,29-1021,Negotiation,329,19,0,3.12,0.0044
330,29-1021,Originality,330,19,0,3.88,0.0044
331,29-1021,Persuasion,331,19,0,3.88,0.0044
332,29-1021,Social Perceptiveness,332,19,0,3.75,0.0044
333,29-1024,Assisting and Caring for Others,333,141,0,4.77,0.055
334,29-1024,"Cramped Work Space, Awkward Positions",334,141,0,1.93,0.055
335,29-1024,Fine Arts,335,141,0,2.04,0.055
336,29-1024,Finger Dexterity,336,141,0,4.12,0.055
337,29-1024,Manual Dexterity,337,141,0,3.88,0.055
338,29-1024,Negotiation,338,141,0,2.88,0.055
339,29-1024,Originality,339,141,0,3.0,0.055
340,29-1024,Persuasion,340,141,0,3.0,0.055
341,29-1024,Social Perceptiveness,341,141,0,3.75,0.055
342,31-9094,Assisting and Caring for Others,342,523,1,2.55,0.89
343,31-9094,"Cramped Work Space, Awkward Positions",343,523,1,1.2,0.89
344,31-9094,Fine Arts,344,523,1,0.0,0.89
345,31-9094,Finger Dexterity,345,523,1,2.88,0.89
346,31-9094,Manual Dexterity,346,523,1,2.0,0.89
347,31-9094,Negotiation,347,523,1,1.25,0.89
348,31-9094,Originality,348,523,1,1.62,0.89
349,31-9094,Persuasion,349,523,1,1.38,0.89
350,31-9094,Social Perceptiveness,350,523,1,2.75,0.89
351,35-1011,Assisting and Caring for Others,351,169,0,2.85,0.1
352,35-1011,"Cramped Work Space, Awkward Positions",352,169,0,2.63,0.1
353,35-1011,Fine Arts,353,169,0,1.31,0.1
354,35-1011,Finger Dexterity,354,169,0,2.88,0.1
355,35-1011,Manual Dexterity,355,169,0,3.0,0.1
356,35-1011,Negotiation,356,169,0,3.5,0.1
357,35-1011,Originality,357,169,0,3.38,0.1
358,35-1011,Persuasion,358,169,0,3.5,0.1
359,35-1011,Social Perceptiveness,359,169,0,3.75,0.1
360,35-2011,Assisting and Caring for Others,360,441,1,2.98,0.81
361,35-2011,"Cramped Work Space, Awkward Positions",361,441,1,1.77,0.81
362,35-2011,Fine Arts,362,441,1,0.38,0.81
363,35-2011,Finger Dexterity,363,441,1,2.0,0.81
364,35-2011,Manual Dexterity,364,441,1,2.75,0.81
365,35-2011,Negotiation,365,441,1,1.75,0.81
366,35-2011,Originality,366,441,1,1.62,0.81
367,35-2011,Persuasion,367,441,1,2.0,0.81
368,35-2011,Social Perceptiveness,368,441,1,2.62,0.81
369,35-3031,Assisting and Caring for Others,369,592,0,3.46,0.94
370,35-3031,"Cramped Work Space, Awkward Positions",370,592,0,1.7,0.94
371,35-3031,Fine Arts,371,592,0,0.44,0.94
372,35-3031,Finger Dexterity,372,592,0,2.38,0.94
373,35-3031,Manual Dexterity,373,592,0,2.88,0.94
374,35-3031,Negotiation,374,592,0,2.12,0.94
375,35-3031,Originality,375,592,0,2.12,0.94
376,35-3031,Persuasion,376,592,0,2.12,0.94
377,35-3031,Social Perceptiveness,377,592,0,2.75,0.94
378,35-9021,Assisting and Caring for Others,378,424,1,3.42,0.77
379,35-9021,"Cramped Work Space, Awkward Positions",379,424,1,1.58,0.77
380,35-9021,Fine Arts,380,424,1,0.76,0.77
381,35-9021,Finger Dexterity,381,424,1,2.25,0.77
382,35-9021,Manual Dexterity,382,424,1,3.5,0.77
383,35-9021,Negotiation,383,424,1,1.75,0.77
384,35-9021,Originality,384,424,1,1.88,0.77
385,35-9021,Persuasion,385,424,1,2.0,0.77
386,35-9021,Social Perceptiveness,386,424,1,2.25,0.77
387,37-2012,Assisting and Caring for Others,387,381,0,3.01,0.69
388,37-2012,"Cramped Work Space, Awkward Positions",388,381,0,1.97,0.69
389,37-2012,Fine Arts,389,381,0,0.01,0.69
390,37-2012,Finger Dexterity,390,381,0,2.12,0.69
391,37-2012,Manual Dexterity,391,381,0,2.38,0.69
392,37-2012,Negotiation,392,381,0,1.62,0.69
393,37-2012,Originality,393,381,0,1.5,0.69
394,37-2012,Persuasion,394,381,0,1.88,0.69
395,37-2012,Social Perceptiveness,395,381,0,2.12,0.69
396,39-3011,Assisting and Caring for Others,396,639,1,2.97,0.96
397,39-3011,"Cramped Work Space, Awkward Positions",397,639,1,1.42,0.96
398,39-3011,Fine Arts,398,639,1,0.06,0.96
399,39-3011,Finger Dexterity,399,639,1,2.88,0.96
400,39-3011,Manual Dexterity,400,639,1,3.12,0.96
401,39-3011,Negotiation,401,639,1,2.75,0.96
402,39-3011,Originality,402,639,1,2.25,0.96
403,39-3011,Persuasion,403,639,1,2.88,0.96
404,39-3011,Social Perceptiveness,404,639,1,2.88,0.96
405,39-5012,Assisting and Caring for Others,405,176,0,3.93,0.11
406,39-5012,"Cramped Work Space, Awkward Positions",406,176,0,1.07,0.11
407,39-5012,Fine Arts,407,176,0,0.34,0.11
408,39-5012,Finger Dexterity,408,176,0,3.75,0.11
409,39-5012,Manual Dexterity,409,176,0,3.75,0.11
410,39-5012,Negotiation,410,176,0,2.38,0.11
411,39-5012,Originality,411,176,0,3.12,0.11
412,39-5012,Persuasion,412,176,0,2.75,0.11
413,39-5012,Social Perceptiveness,413,176,0,3.12,0.11
414,39-6012,Assisting and Caring for Others,414,211,0,3.77,0.21
415,39-6012,"Cramped Work Space, Awkward Positions",415,211,0,1.42,0.21
416,39-6012,Fine Arts,416,211,0,1.77,0.21
417,39-6012,Finger Dexterity,417,211,0,1.88,0.21
418,39-6012,Manual Dexterity,418,211,0,1.12,0.21
419,39-6012,Negotiation,419,211,0,2.62,0.21
420,39-6012,Originality,420,211,0,3.0,0.21
421,39-6012,Persuasion,421,211,0,2.75,0.21
422,39-6012,Social Perceptiveness,422,211,0,3.0,0.21
423,39-9011,Assisting and Caring for Others,423,163,0,4.465,0.084
424,39-9011,"Cramped Work Space, Awkward Positions",424,163,0,1.725,0.084
425,39-9011,Fine Arts,425,163,0,0.91,0.084
426,39-9011,Finger Dexterity,426,163,0,2.315,0.084
427,39-9011,Manual Dexterity,427,163,0,2.19,0.084
428,39-9011,Negotiation,428,163,0,2.75,0.084
429,39-9011,Originality,429,163,0,3.0,0.084
430,39-9011,Persuasion,430,163,0,3.065,0.084
431,39-9011,Social Perceptiveness,431,163,0,3.565,0.084
432,41-2011,Assisting and Caring for Others,432,657,1,3.44,0.97
433,41-2011,"Cramped Work Space, Awkward Positions",433,657,1,1.02,0.97
434,41-2011,Fine Arts,434,657,1,0.25,0.97
435,41-2011,Finger Dexterity,435,657,1,2.25,0.97
436,41-2011,Manual Dexterity,436,657,1,2.12,0.97
437,41-2011,Negotiation,437,657,1,2.12,0.97
438,41-2011,Originality,438,657,1,2.12,0.97
439,41-2011,Persuasion,439,657,1,2.12,0.97
440,41-2011,Social Perceptiveness,440,657,1,2.62,0.97
441,43-2011,Assisting and Caring for Others,441,631,1,3.47,0.96
442,43-2011,"Cramped Work Space, Awkward Positions",442,631,1,1.11,0.96
443,43-2011,Fine Arts,443,631,1,0.01,0.96
444,43-2011,Finger Dexterity,444,631,1,2.12,0.96
445,43-2011,Manual Dexterity,445,631,1,1.75,0.96
446,43-2011,Negotiation,446,631,1,1.88,0.96
447,43-2011,Originality,447,631,1,1.75,0.96
448,43-2011,Persuasion,448,631,1,1.88,0.96
449,43-2011,Social Perceptiveness,449,631,1,2.88,0.96
450,43-4041,Assisting and Caring for Others,450,667,1,2.625,0.97
451,43-4041,"Cramped Work Space, Awkward Positions",451,667,1,1.58,0.97
452,43-4041,Fine Arts,452,667,1,0.01,0.97
453,43-4041,Finger Dexterity,453,667,1,1.94,0.97
454,43-4041,Manual Dexterity,454,667,1,0.5,0.97
455,43-4041,Negotiation,455,667,1,2.56,0.97
456,43-4041,Originality,456,667,1,1.94,0.97
457,43-4041,Persuasion,457,667,1,2.56,0.97
458,43-4041,Social Perceptiveness,458,667,1,2.94,0.97
